Branch,Party_Group,Group_Description,Party_no,Party_name,Party_BLOC,Business_Locationname,PRT_SBLOC,LocationIdentifier_Name,Customer_State,Customer_City,LocationIdentifier_State,LocationIdentifier_City,Customer_Type,Cong_Typ,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Total_Revenue
WB,DG2410,TATA AIG GENERAL INSURANCE CO LTD                                                                   ,D03805,TATA AIG GENERAL INSURANCE CO LTD_ODISHA                                                            ,Y06006,TATA AIG GENERAL INSURANCE CO LTD_ODISHA                                                            ,Z00002,Bhubaneswar Location Code 0430                                                                      ,ODISHA                                  ,Bhubaneswar         ,Odisha                                                                                                                                                ,Bhubaneswar                                       ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,300,7125,5675,5700,300,5700,5250,300,5475,35825
WB,DG2410,TATA AIG GENERAL INSURANCE CO LTD                                                                   ,D03805,TATA AIG GENERAL INSURANCE CO LTD_ODISHA                                                            ,Y06006,TATA AIG GENERAL INSURANCE CO LTD_ODISHA                                                            ,Z00012,Rourkela Location Code 0433                                                                         ,ODISHA                                  ,Bhubaneswar         ,Odisha                                                                                                                                                ,Rourkela                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,300,-300,0,0,0,0,0,0,0,0
WB,DG2410,TATA AIG GENERAL INSURANCE CO LTD                                                                   ,D03805,TATA AIG GENERAL INSURANCE CO LTD_ODISHA                                                            ,Y06006,TATA AIG GENERAL INSURANCE CO LTD_ODISHA                                                            ,Z00003,CUTTACK                                                                                             ,ODISHA                                  ,Bhubaneswar         ,Odisha                                                                                                                                                ,Cuttack                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,300,300,300,300,300,300,300,300,300,2700
WB,DG2410,TATA AIG GENERAL INSURANCE CO LTD                                                                   ,D03807,TATA AIG GENERAL INSURANCE CO LTD_WEST BENGAL                                                       ,Y06006,TATA AIG GENERAL INSURANCE CO LTD_WEST BENGAL                                                       ,Z00004,Duragapur Location Code 0402                                                                        ,WEST BENGAL                             ,Durgapur            ,West Bengal                                                                                                                                           ,Durgapur                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,300,300,300,300,300,300,300,300,3550,5950
WB,DG2410,TATA AIG GENERAL INSURANCE CO LTD                                                                   ,D03807,TATA AIG GENERAL INSURANCE CO LTD_WEST BENGAL                                                       ,Y06006,TATA AIG GENERAL INSURANCE CO LTD_WEST BENGAL                                                       ,Z00001,6th floor - Godrej Genesis                                                                          ,WEST BENGAL                             ,Durgapur            ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,15592.6,14691.2,4962.8,15521.2,17695.1,15517.6,0,15869,99849.5
WB,DG2410,TATA AIG GENERAL INSURANCE CO LTD                                                                   ,D03807,TATA AIG GENERAL INSURANCE CO LTD_WEST BENGAL                                                       ,Y06006,TATA AIG GENERAL INSURANCE CO LTD_WEST BENGAL                                                       ,Z00014,Siliguri Location Code 0434                                                                         ,WEST BENGAL                             ,Durgapur            ,West Bengal                                                                                                                                           ,Siliguri                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,300,300,300,4050,300,300,300,300,5675,11825
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03833,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Y06016,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Z00036,Kolkata - E M Bypass                                                                                ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,8480,0,10455,0,10195,0,0,0,29130
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03833,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Y06016,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Z00035,Kolkata - Avani Signature                                                                           ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,15460,15925,14205,14225,21375,14050,10500,13324,119064
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03833,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Y06016,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Z00053,Siliguri                                                                                            ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kurseong                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,13625,0,0,0,13135,0,0,9015,0,35775
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03833,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,Y06016,TATA CAPITAL HOUSING FINANCE LIMITED_WEST BENGAL                                                    ,      ,                                                                                                    ,WEST BENGAL                             ,Kolkata             ,UNKNOWN                                                                                                                                               ,UNKNOWN                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,16800,0,0,0,0,0,0,0,0,16800
