Branch,Doc_no,PARTY_GRP,GRP_DESC,PARTY_NAME,Customer_Type,ConsigneeName,LocationID_Code,LocationIdentifier,IM_CODE,IM_DESCR,DispatchDate,DispatchMonth,Installation_Month,July-25 (Demo),July-25 (Installation),August-25 (Demo),August-25 (Installation),September-25 (Demo),September-25 (Installation),October-25 (Demo),October-25 (Installation),November-25 (Demo),November-25 (Installation),December-25 (Demo),December-25 (Installation),January-26 (Demo),January-26 (Installation),June-26 (Installation),December-26 (Installation),Install_Date_NOT_Entered (Demo),Install_Date_NOT_Entered (Installation),Grand Total
MH,FAOTMH252600536,DG0072,Demo                                                                                                ,SHAILESH SUMBHE-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Shailesh Shumbhe-Demo                                                                               ,Z00027,MIRC ELECTRONICS LIMITED                                                                            ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,14-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600537,      ,NULL,RANJEET SHRIVASTAV-DEMO_MAHARASHTRA                                                                 ,Demo                                                                  ,RANJEET SHRIVASTAV-DEMO_MAHARASHTRA                                                                 ,Z00003,Lauran Information Technologis Pvt Ltd                                                              ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,14-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600537,      ,NULL,RANJEET SHRIVASTAV-DEMO_MAHARASHTRA                                                                 ,Demo                                                                  ,RANJEET SHRIVASTAV-DEMO_MAHARASHTRA                                                                 ,Z00003,Lauran Information Technologis Pvt Ltd                                                              ,GBMMM-0004                    ,GBMMM-0004_PMB - PASTEURIZER 5LTR                                                                                                                                                                                                                         ,14-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600538,      ,NULL,BAJAJ FINANCE LIMITED(RENTAL)_MAHARASHTRA                                                           ,Direct Customer                                                       ,BAJAJ FINANCE LIMITED                                                                               ,Z00002,BAJAJ FINANCE LMITIED                                                                               ,GBMPM-0020                    ,GBMPM-0020_4 LANE QUADRA                                                                                                                                                                                                                                  ,14-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600539,DG2577,UPL LIMITED                                                                                         ,UPL LIMITED_MAHARASHTRA                                                                             ,Direct Customer                                                       ,UPL LIMITED_MAHARASHTRA                                                                             ,Z00001,Aventura Tower-Turbhe                                                                               ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,15-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600540,      ,NULL,RANJEET SHRIVASTAV-DEMO_MAHARASHTRA                                                                 ,Demo                                                                  ,RANJEET SHRIVASTAV-DEMO_MAHARASHTRA                                                                 ,Z00004,TI Medical Pvt Ltd                                                                                  ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,15-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600541,DG0727,FOODLINK ASSOCIATES                                                                                 ,FOODLINK F&B HOLDING (INDIA) PRIVATE LIMITED(NEW)_MAHARASHTRA                                       ,Direct Customer                                                       ,FOODLINK F&B HOLDINGS (INDIA) LIMITED                                                               ,Z00001,Nehru Planetarium                                                                                   ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,16-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
MH,FAOTMH252600542,      ,NULL,OJAS MEDICARE PRIVATE LIMITED_MAHARASHTRA                                                           ,Direct Customer                                                       ,OJAS MAXIVISION EYE HOSPITALS PRIVATE LIMITED                                                       ,Z00002,Gokul Corcord Tower                                                                                 ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,16-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600543,DG0764,GANDHI AUTOMATIONS PRIVATE LIMITED                                                                  ,GANDHI AUTOMATIONS PRIVATE LIMITED_MAHARASHTRA                                                      ,Direct Customer                                                       ,GANDHI AUTOMATIONS PRIVATE LIMITED_MAHARASHTRA                                                      ,Z00001,CHAWDA COMMERCIAL CENTRE                                                                            ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,16-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600544,      ,NULL,QUALITEK LABS LIMITED                                                                               ,Direct Customer                                                       ,QUALITEK LABS LIMITED                                                                               ,Z00001,APMC GRAN MARKET                                                                                    ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,17-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600545,DG1032,BARCLAYS BANK PLC                                                                                   ,ISS FACILITY SERVICES INDIA PRIVATE LIMITED_MAHARASHTRA                                             ,Facility                                                              ,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED_MAHARASHTRA                                          ,Z00001,BARCLAYS 11TH FLOOR GOREGAON-E                                                                      ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,18-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600546,      ,NULL,TORRENT DIAGNOSTICS LIMITED_MAHARASHTRA                                                             ,Direct Customer                                                       ,TORRENT DIAGNOSTICS LIMITED                                                                         ,Z00001,C-531                                                                                               ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,24-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600547,DG0072,Demo                                                                                                ,RAJKUMAR SAWO-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,RAJKUMAR SAWO-DEMO_MAHARASHTRA                                                                      ,Z00038,DIALLO                                                                                              ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,24-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600547,DG0072,Demo                                                                                                ,RAJKUMAR SAWO-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,RAJKUMAR SAWO-DEMO_MAHARASHTRA                                                                      ,Z00038,DIALLO                                                                                              ,GBMMM-0004                    ,GBMMM-0004_PMB - PASTEURIZER 5LTR                                                                                                                                                                                                                         ,24-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600548,DG0976,INDO AMINES LIMITED                                                                                 ,INDO AMINES LIMITED_MAHARASHTRA                                                                     ,Direct Customer                                                       ,INDO AMINES LIMITED_MAHARASHTRA                                                                     ,Z00007,Manpada Cross Road                                                                                  ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,27-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600549,DG0976,INDO AMINES LIMITED                                                                                 ,INDO AMINES LIMITED_MAHARASHTRA                                                                     ,Direct Customer                                                       ,INDO AMINES LIMITED_MAHARASHTRA                                                                     ,Z00008,W-37/38/39-MIDC                                                                                     ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,27-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
